algo,env,dataset,return,std,normalized return,normalized std
cql,halfcheetah,random,3252.046914349315,17.127915586167994,28.45086551487676,2.3947046571916455
cql,halfcheetah,medium,4531.603050669871,33.52783821674398,38.757250474485936,2.526800398160511
cql,halfcheetah,medium_replay,5288.849076770568,66.40859725170941,44.85660698772988,2.791643612740355
cql,halfcheetah,medium_expert,1119.3723986241057,329.0001561805459,11.27290518261856,4.906728380530867
cql,hopper,random,323.54195616674764,4.577401430384424,10.564038188321879,0.7635321664910567
cql,hopper,medium,993.7914005311635,11.016586481784714,31.1581249546448,0.9613825888494036
cql,hopper,medium_replay,959.5715695088593,50.79847717715331,30.10668630724611,2.183721101171028
cql,hopper,medium_expert,3233.744272484499,585.0103532626181,99.98292471441955,18.59791706986267
cql,walker2d,random,56.754606733938516,122.84161838725124,1.200817894159785,2.6404116217102938
cql,walker2d,medium,2235.1311275222797,1019.8232285516852,48.65306451746433,22.179638277847754
cql,walker2d,medium_replay,1171.2917865437557,600.4575596720508,25.479124524107384,13.044466761299342
cql,walker2d,medium_expert,3466.3064609698763,2425.258433635707,75.47213596896069,52.79466617972145
bear,halfcheetah,random,-0.17830200002717056,0.2050393175948661,2.2553090218028116,2.2583967043813167
bear,halfcheetah,medium,4330.946295125868,2.6775952499885225,37.14102926411413,2.2783122927248596
bear,halfcheetah,medium_replay,4215.158022690365,418.462839049348,36.20839452019427,5.627319547258948
bear,halfcheetah,medium_expert,5202.500253799827,1437.8958801668693,44.1610968924052,13.838502366103342
bear,hopper,random,306.2376833893797,0.8314499155377869,10.032347042582595,0.6484340471746803
bear,hopper,medium,980.9866593396382,9.231379821274272,30.76468643211287,0.9065303227692239
bear,hopper,medium_replay,992.7731626994523,214.9143649415299,31.12683857547458,7.226346441288539
bear,hopper,medium_expert,2168.675079393989,1037.8654947834348,67.25760497104669,32.51234572843312
bear,walker2d,random,416.11627771798265,288.47717807429245,9.028903845217725,6.248502028879277
bear,walker2d,medium,2573.2642476609144,390.8244951161506,56.01872240773543,8.477965155734049
bear,walker2d,medium_replay,628.6570359058943,98.85800710688267,13.658744636646666,2.11796923099739
bear,walker2d,medium_expert,2012.1868195102604,276.7460989100036,43.796599996253015,5.992960318642751
