algo,env,dataset,final return,final std,final normalized return,final normalized std,best return,best std,best normalized return,best normalized std
TD3PlusBC_iqn,halfcheetah,medium-expert-v0,8303.5,920.3,69.1,7.4,10772.0,555.5,89.0,4.5
TD3PlusBC_iqn,halfcheetah,medium-replay-v0,5117.8,65.2,43.5,0.5,5256.2,34.6,44.6,0.3
TD3PlusBC_iqn,halfcheetah,medium-v0,4923.5,44.2,41.9,0.4,4987.0,16.2,42.4,0.1
TD3PlusBC_iqn,halfcheetah,random-v0,926.0,80.4,9.7,0.6,1249.8,21.9,12.3,0.2
TD3PlusBC_iqn,hopper,medium-expert-v0,3630.8,17.0,112.2,0.5,3695.8,7.6,114.2,0.2
TD3PlusBC_iqn,hopper,medium-replay-v0,927.1,122.5,29.1,3.8,3214.2,14.3,99.4,0.4
TD3PlusBC_iqn,hopper,medium-v0,2933.4,430.3,90.8,13.2,3276.4,3.3,101.3,0.1
TD3PlusBC_iqn,hopper,random-v0,335.8,1.6,10.9,0.0,343.5,1.2,11.2,0.0
TD3PlusBC_iqn,walker2d,medium-expert-v0,4656.8,400.8,101.4,8.7,5221.1,29.0,113.7,0.6
TD3PlusBC_iqn,walker2d,medium-replay-v0,24.3,22.0,0.5,0.5,2521.8,66.8,54.9,1.5
TD3PlusBC_iqn,walker2d,medium-v0,2360.7,1669.7,51.4,36.4,3678.1,47.3,80.1,1.0
TD3PlusBC_iqn,walker2d,random-v0,134.1,66.7,2.9,1.5,624.1,276.7,13.6,6.0
TD3PlusBC_qr,halfcheetah,medium-expert-v0,9013.5,342.2,74.9,2.8,11841.1,89.8,97.6,0.7
TD3PlusBC_qr,halfcheetah,medium-replay-v0,5024.9,46.1,42.7,0.4,5221.0,10.5,44.3,0.1
TD3PlusBC_qr,halfcheetah,medium-v0,5059.6,55.8,43.0,0.4,5137.6,15.4,43.6,0.1
TD3PlusBC_qr,halfcheetah,random-v0,1267.6,68.9,12.5,0.6,1415.9,84.3,13.7,0.7
TD3PlusBC_qr,hopper,medium-expert-v0,3441.0,268.4,106.4,8.2,3712.1,14.7,114.7,0.5
TD3PlusBC_qr,hopper,medium-replay-v0,959.7,143.7,30.1,4.4,2568.1,538.3,79.5,16.5
TD3PlusBC_qr,hopper,medium-v0,2179.4,929.6,67.6,28.6,3248.8,7.7,100.4,0.2
TD3PlusBC_qr,hopper,random-v0,336.9,1.8,11.0,0.1,342.4,1.3,11.1,0.0
TD3PlusBC_qr,walker2d,medium-expert-v0,1573.1,521.6,34.2,11.4,4997.1,81.9,108.8,1.8
TD3PlusBC_qr,walker2d,medium-replay-v0,1141.7,75.9,24.8,1.7,2169.8,125.9,47.2,2.7
TD3PlusBC_qr,walker2d,medium-v0,3331.0,242.3,72.5,5.3,3787.5,16.2,82.5,0.4
TD3PlusBC_qr,walker2d,random-v0,83.8,89.7,1.8,2.0,703.9,212.3,15.3,4.6
